0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 338 338 338 338 338 338 338 338 338 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 338 338 5 5 6 2 2 4 8 3 6 338 338 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 338 338 338 6 8 6 8 4 3 8 3 4 4 6 6 6 338 338 338 0 0 0 0 0 0
0 0 0 0 338 338 6 3 5 6 6 2 8 8 3 7 7 2 2 6 6 6 5 3 7 338 338 0 0 0 0
0 0 0 338 8 5 3 7 2 8 4 2 7 4 4 5 5 7 5 7 6 6 3 6 5 2 7 338 0 0 0
0 338 338 3 5 5 7 2 5 8 3 2 6 8 6 6 2 8 3 8 6 6 5 2 6 2 8 3 338 0 0
338 3 6 3 2 2 3 2 4 4 7 3 3 5 6 7 3 2 7 4 3 7 2 5 4 7 2 3 3 338 0
4 5 2 3 8 2 6 8 4 8 8 4 2 8 2 7 8 2 5 7 2 6 7 4 6 6 8 4 6 338 0
5 2 2 6 4 6 6 5 6 7 4 5 2 7 8 7 6 7 6 2 2 2 6 2 8 7 6 2 5 338 0
3 6 2 3 7 2 6 3 7 4 8 8 4 7 7 6 5 5 3 6 2 8 5 2 7 4 7 2 5 338 0
338 5 4 6 4 7 8 4 2 4 3 8 5 4 6 3 7 6 6 2 8 2 4 5 7 6 8 5 5 338 0
0 338 338 3 8 4 4 3 5 5 2 4 5 2 2 7 3 6 4 4 3 8 3 7 4 8 7 3 338 0 0
0 0 0 338 2 6 4 5 5 4 2 2 2 4 2 4 3 8 3 6 4 6 8 6 5 5 3 338 0 0 0
0 0 0 0 338 338 4 2 6 4 4 5 3 3 4 5 7 3 5 8 5 2 7 8 7 338 338 0 0 0 0
0 0 0 0 0 0 338 338 338 5 4 6 5 4 8 7 3 4 7 4 8 2 338 338 338 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 338 338 8 5 3 7 6 4 4 8 5 338 338 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 338 338 338 6 4 6 338 338 338 0 0 0 0 0 0 0 0 0 0 0
